Long [deg],  Lat[deg],    Ve[m/yr],  Vn[m/yr],  SVe[m/yr], SVn[m/yr], angle[deg],    Name
 2.0000000  42.0000000   -0.00000  -0.00018     0.000103    0.000100    0.0 
 2.0000000  42.5000000    0.00014  -0.00025     0.000085    0.000096    0.0 
 2.0000000  43.0000000    0.00016  -0.00001     0.000050    0.000065    0.0 
 2.0000000  43.5000000    0.00017   0.00002     0.000065    0.000071    0.0 
 2.0000000  44.0000000    0.00010  -0.00004     0.000086    0.000089    0.0 
 2.0000000  44.5000000    0.00008  -0.00017     0.000046    0.000055    0.0 
 2.0000000  45.0000000    0.00009  -0.00019     0.000056    0.000083    0.0 
 2.0000000  45.5000000    0.00016  -0.00021     0.000052    0.000058    0.0 
 2.0000000  46.0000000    0.00018  -0.00014     0.000070    0.000093    0.0 
 2.0000000  46.5000000    0.00016  -0.00012     0.000051    0.000085    0.0 
 2.0000000  47.0000000    0.00016  -0.00008     0.000077    0.000066    0.0 
 2.0000000  47.5000000    0.00020  -0.00010     0.000057    0.000051    0.0 
 2.0000000  48.0000000    0.00027  -0.00022     0.000090    0.000041    0.0 
 2.0000000  48.5000000    0.00035  -0.00030     0.000073    0.000058    0.0 
 2.0000000  49.0000000    0.00038  -0.00032     0.000079    0.000061    0.0 
 2.0000000  49.5000000    0.00033  -0.00028     0.000062    0.000044    0.0 
 2.0000000  50.0000000    0.00023  -0.00020     0.000072    0.000042    0.0 
 2.0000000  50.5000000    0.00018  -0.00019     0.000066    0.000046    0.0 
 2.0000000  51.0000000    0.00011  -0.00013     0.000065    0.000030    0.0 
 2.0000000  51.5000000    0.00007  -0.00011     0.000069    0.000026    0.0 
 2.0000000  52.0000000    0.00004  -0.00011     0.000072    0.000022    0.0 
 2.0000000  52.5000000    0.00002   0.00008     0.000032    0.000019    0.0 
 2.0000000  53.0000000    0.00001   0.00010     0.000030    0.000012    0.0 
 2.5000000  41.0000000   -0.00010  -0.00010     0.000121    0.000155    0.0 
 2.5000000  41.5000000    0.00003  -0.00018     0.000107    0.000150    0.0 
 2.5000000  42.0000000    0.00008  -0.00025     0.000087    0.000123    0.0 
 2.5000000  42.5000000    0.00015  -0.00037     0.000060    0.000084    0.0 
 2.5000000  43.0000000   -0.00007  -0.00010     0.000056    0.000071    0.0 
 2.5000000  43.5000000   -0.00001   0.00001     0.000231    0.000078    0.0 
 2.5000000  44.0000000    0.00001  -0.00006     0.000077    0.000058    0.0 
 2.5000000  44.5000000    0.00004  -0.00004     0.000045    0.000160    0.0 
 2.5000000  45.0000000    0.00010  -0.00005     0.000053    0.000114    0.0 
 2.5000000  45.5000000    0.00016  -0.00012     0.000078    0.000115    0.0 
 2.5000000  46.0000000    0.00021  -0.00013     0.000078    0.000099    0.0 
 2.5000000  46.5000000    0.00016  -0.00014     0.000090    0.000088    0.0 
 2.5000000  47.0000000    0.00017  -0.00010     0.000060    0.000078    0.0 
 2.5000000  47.5000000    0.00020  -0.00011     0.000091    0.000063    0.0 
 2.5000000  48.0000000    0.00024  -0.00022     0.000127    0.000070    0.0 
 2.5000000  48.5000000    0.00036  -0.00033     0.000081    0.000071    0.0 
 2.5000000  49.0000000    0.00043  -0.00037     0.000057    0.000046    0.0 
 2.5000000  49.5000000    0.00032  -0.00028     0.000060    0.000043    0.0 
 2.5000000  50.0000000    0.00022  -0.00021     0.000061    0.000045    0.0 
 2.5000000  50.5000000    0.00014  -0.00014     0.000061    0.000033    0.0 
 2.5000000  51.0000000    0.00009  -0.00012     0.000065    0.000030    0.0 
 2.5000000  51.5000000    0.00006  -0.00011     0.000069    0.000026    0.0 
 2.5000000  52.0000000    0.00003   0.00006     0.000033    0.000023    0.0 
 2.5000000  52.5000000    0.00001   0.00009     0.000032    0.000019    0.0 
